,Genome,Genus,Species
266,GCF_013449655.1,Pectobacterium,versatile A
267,GCF_014893095.1,Dickeya,dianthicola
268,GCF_000406145.1,Dickeya,dadantii
269,GCF_016949375.1,Pectobacterium,brasiliense
270,GCF_013449675.1,Pectobacterium,versatile A
271,GCF_016864935.1,Pectobacterium,parmentieri
272,GCF_000808355.1,Pectobacterium,brasiliense
273,GCF_004296685.1,Pectobacterium,carotovorum
274,GCF_003628675.1,Pectobacterium,parmentieri
275,GCF_003628775.1,Dickeya,fangzhongdai
276,GCF_012427845.1,Pectobacterium,punjabense
277,GCF_014946775.1,Pectobacterium,quasiaquaticum
278,GCF_014946825.1,Pectobacterium,quasiaquaticum
279,GCF_003382565.2,Pectobacterium,aquaticum
280,GCF_001187975.2,Dickeya,fangzhongdai
